line,chart,gz,lc,ganwx,zhiwx,ju,v,primary,fav,av,blob,clash
180,辛丑乙未庚辰丁丑,癸巳,fav_l,水,火,,xiong,火,"['木', '火']","['土', '金']",一交癸巳，克丁拱丑，伤劫并旺，刑丧破耗,
187,庚戌乙酉甲寅庚午,戊子,av_l,土,水,,ji,水,"['木', '水', '火']","['土', '金']",故子运辰年大魁天下 子运冲破火局，去午之旺神也，引通庚金之性，益我日主之气,"午(火强)旺冲子(水旺)衰: 子衰者拔, 午旺神发"
190,丁巳癸丑丁卯丙午,壬子,av_l,水,水,,ji,水,"['土', '水', '金']","['木', '火']",初运壬子辛亥，暗冲巳午之火，荫庇有余,"午(火旺)旺冲子(水平)衰: 子衰者拔, 午旺神发"
190,丁巳癸丑丁卯丙午,辛亥,av_l,金,水,,ji,水,"['土', '水', '金']","['木', '火']",初运壬子辛亥，暗冲巳午之火，荫庇有余,"巳(火旺)旺冲亥(水平)衰: 亥衰者拔, 巳旺神发"
190,丁巳癸丑丁卯丙午,庚戌,fav,金,土,,xiong,水,"['土', '水', '金']","['木', '火']",庚戌运暗来拱合午火，刑伤破耗,
203,庚寅壬午丁卯癸卯,甲申,av_l,木,金,,ji,水,"['木', '水', '金']",[],至甲申乙酉运，庚金禄旺，壬癸逢生，又冲去寅卯之木，所谓“衰神冲旺旺神发”，骤然发财巨万,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
203,庚寅壬午丁卯癸卯,乙酉,av_l,木,金,,ji,水,"['木', '水', '金']",[],至甲申乙酉运，庚金禄旺，壬癸逢生，又冲去寅卯之木，所谓“衰神冲旺旺神发”，骤然发财巨万,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
228,己酉丁卯庚辰甲申,壬戌,fav,水,土,化神金,xiong,土,"['土', '火', '金']",['木'],一交戌运，支类西方，贫乏不堪,辰戌同阶(平/平): 两停不拔不发
244,戊子戊午戊戌戊午,壬戌,fav_l,水,土,,xiong,水,"['水', '金']",[],一交壬戌，水不通根，暗拱火局，遭祝融之变，一家五口皆亡,
250,辛卯辛卯辛卯辛卯,丁亥,fav_l,火,水,,xiong,木,"['木', '水']","['土', '金']",一交丁亥，生火克金，即亡其师，所有微业，嫖赌扫尽而死,
260,庚寅庚辰甲寅丁卯,甲申,av_l,木,金,,ji,金,"['土', '火', '金']","['木', '水']",至甲申运，庚金禄旺暗冲寅木，科甲联登，仕至郡守,"寅(木强)旺冲申(金旺)衰: 申衰者拔, 寅旺神发"
300,己丑丙子丁亥庚子,辛未,fav_l,金,土,,xiong,水,"['水', '金']","['木', '火']",人皆取其火土帮身，以午未运为美，殊不知比劫夺财，反致大凶,丑未同阶(平/平): 两停不拔不发
385,戊寅乙卯甲辰辛未,庚申,av_l,金,金,,ji,金,"['土', '火', '金']","['木', '水']",至庚申辛酉，辛金得地，而成之异路，加捐仕至州牧,"寅(木强)旺冲申(金平)衰: 申衰者拔, 寅旺神发"
385,戊寅乙卯甲辰辛未,辛酉,av_l,金,金,,ji,金,"['土', '火', '金']","['木', '水']",至庚申辛酉，辛金得地，而成之异路，加捐仕至州牧,"卯(木强)旺冲酉(金平)衰: 酉衰者拔, 卯旺神发"
435,戊申壬戌庚申乙酉,癸亥,fav,水,水,,xiong,水,"['木', '水', '金']",['火'],初交癸亥，财喜如心，一交丙寅，触其旺神，一败如灰，衣食难度，自缢而死,
605,甲辰丁卯甲子戊辰,辛未,av_l,金,土,,ji,火,"['火', '金']","['木', '水']",未运克去子水，食廪天储,
632,戊戌丙辰己巳己巳,庚申,fav,金,金,,xiong,水,"['水', '金']",[],一交庚申，青蚨化蝶，家业渐消,
632,戊戌丙辰己巳己巳,壬戌,fav_l,水,土,,xiong,水,"['水', '金']",[],壬运克丙不禄,戌辰同阶(强/强): 两停不拔不发
647,己卯庚午辛卯甲午,戊辰,fav,土,土,,xiong,土,"['土', '水', '金']",['木'],初运己巳戊辰，晦火生金，求名多滞，作事少成,
745,癸亥癸亥丁卯癸卯,丁巳,av_l,火,火,,ji,木,"['木', '火']",['金'],接行戊午、丁巳、丙运，仕至观察，名利双辉,"亥(水强)旺冲巳(火平)衰: 巳衰者拔, 亥旺神发"
752,庚申庚辰甲戌丙寅,甲申,fav_l,木,金,,xiong,火,"['水', '火', '金']",['土'],甲申乙酉杀逢禄旺，刑耗多端,"申(金旺)旺冲寅(木平)衰: 寅衰者拔, 申旺神发"
752,庚申庚辰甲戌丙寅,乙酉,fav,木,金,化神金,xiong,火,"['水', '火', '金']",['土'],甲申乙酉杀逢禄旺，刑耗多端,
762,癸丑戊午丙午壬辰,壬子,av_l,水,水,,ji,水,"['水', '金']",[],及壬子运，由治中而履黄堂，名利裕如也,"午(火强)旺冲子(水平)衰: 子衰者拔, 午旺神发"
